央视高码,#genre#

CCTV1,http://127.0.0.1:35456/gaoma/cctv1.m3u8

CCTV2,http://127.0.0.1:35456/gaoma/cctv2.m3u8

CCTV3,http://127.0.0.1:35456/gaoma/cctv3.m3u8

CCTV4,http://127.0.0.1:35456/gaoma/cctv4.m3u8

CCTV5,http://127.0.0.1:35456/gaoma/cctv5.m3u8

CCTV5+,http://127.0.0.1:35456/gaoma/cctv5p.m3u8

CCTV6,http://127.0.0.1:35456/itv/1000000005000265006.m3u8?cdn=ystenlive

CCTV7,http://127.0.0.1:35456/gaoma/cctv7.m3u8

CCTV8,http://127.0.0.1:35456/gaoma/cctv8.m3u8

CCTV9,http://127.0.0.1:35456/gaoma/cctv9.m3u8

CCTV10,http://127.0.0.1:35456/gaoma/cctv10.m3u8

CCTV11,http://127.0.0.1:35456/gaoma/cctv11.m3u8

CCTV12,http://127.0.0.1:35456/gaoma/cctv12.m3u8

CCTV13,http://127.0.0.1:35456/gaoma/cctv13.m3u8

CCTV14,http://127.0.0.1:35456/gaoma/cctv14.m3u8

CCTV15,http://127.0.0.1:35456/gaoma/cctv15.m3u8

CCTV16,http://127.0.0.1:35456/gaoma/cctv16.m3u8

CCTV17,http://127.0.0.1:35456/gaoma/cctv17.m3u8

CCTV4K16_10M,http://127.0.0.1:10079/av3am3u/0/null/http://127.0.0.1:35456/gaoma/cctv4k16_10m.m3u8

CCTV4K_10M,http://127.0.0.1:10079/av3am3u/0/null/http://127.0.0.1:35456/gaoma/cctv4k_10m.m3u8

CCTV8K_36M,http://127.0.0.1:10079/av3am3u/0/null/http://127.0.0.1:35456/gaoma/cctv8k_36m.m3u8

央视回看,#genre#

CCTV-1,http://127.0.0.1:35456/itv/1000000005000265001.m3u8?cdn=ystenlive
CCTV-2,http://127.0.0.1:35456/itv/1000000001000023315.m3u8?cdn=ystenlive
CCTV-3,http://127.0.0.1:35456/itv/1000000005000265003.m3u8?cdn=ystenlive
CCTV-4,http://127.0.0.1:35456/itv/1000000005000265004.m3u8?cdn=ystenlive
CCTV-5,http://127.0.0.1:35456/itv/1000000005000265005.m3u8?cdn=ystenlive
CCTV-5+,http://127.0.0.1:35456/itv/1000000005000265016.m3u8?cdn=ystenlive
CCTV-6,http://127.0.0.1:35456/itv/1000000005000265006.m3u8?cdn=ystenlive
CCTV-7,http://127.0.0.1:35456/itv/1000000005000265007.m3u8?cdn=ystenlive
CCTV-8,http://127.0.0.1:35456/itv/1000000005000265008.m3u8?cdn=ystenlive
CCTV-9,http://127.0.0.1:35456/itv/1000000005000265009.m3u8?cdn=ystenlive
CCTV-10,http://127.0.0.1:35456/itv/1000000005000265010.m3u8?cdn=ystenlive
CCTV-11,http://127.0.0.1:35456/itv/1000000005000265011.m3u8?cdn=ystenlive
CCTV-12,http://127.0.0.1:35456/itv/1000000005000265012.m3u8?cdn=ystenlive
CCTV-14,http://127.0.0.1:35456/itv/1000000005000265013.m3u8?cdn=ystenlive
CCTV-15,http://127.0.0.1:35456/itv/1000000005000265014.m3u8?cdn=ystenlive
CCTV-16-4K,http://127.0.0.1:35456/itv/5000000008000023254.m3u8?cdn=bestzb
CCTV-16,http://127.0.0.1:35456/itv/1000000006000233002.m3u8?cdn=ystenlive
CCTV-17,http://127.0.0.1:35456/itv/1000000005000265015.m3u8?cdn=ystenlive


卫视回看,#genre#

湖南卫视,http://127.0.0.1:35456/itv/1000000005000265024.m3u8?cdn=ystenlive
江苏卫视,http://127.0.0.1:35456/itv/1000000005000265030.m3u8?cdn=ystenlive
浙江卫视,http://127.0.0.1:35456/itv/1000000005000265031.m3u8?cdn=ystenlive
东南卫视,http://127.0.0.1:35456/itv/1000000005000265033.m3u8?cdn=ystenlive
东方卫视,http://127.0.0.1:35456/itv/1000000005000265018.m3u8?cdn=ystenlive
北京卫视,http://127.0.0.1:35456/itv/1000000005000265027.m3u8?cdn=ystenlive
天津卫视,http://127.0.0.1:35456/itv/1000000005000265026.m3u8?cdn=ystenlive
安徽卫视,http://127.0.0.1:35456/itv/1000000005000265025.m3u8?cdn=ystenlive
