央视频道,#genre#
CCTV-1高清,http://www.lizhinas.top:1009/rtp/239.252.219.200:5140
CCTV-2高清,http://www.lizhinas.top:1009/rtp/239.252.220.183:5140
CCTV-3高清,http://www.lizhinas.top:1009/rtp/239.252.219.252:5140
CCTV-3高清,http://www.lizhinas.top:1009/rtp/239.252.220.193:5140
CCTV-4高清,http://www.lizhinas.top:1009/rtp/239.252.220.184:5140
CCTV-5高清,http://www.lizhinas.top:1009/rtp/239.252.219.198:5140
CCTV-5高清,http://www.lizhinas.top:1009/rtp/239.252.219.236:5140
CCTV-5+高清,http://www.lizhinas.top:1009/rtp/239.252.219.72:5140
CCTV-6高清,http://www.lizhinas.top:1009/rtp/239.252.219.237:5140
CCTV-6高清,http://www.lizhinas.top:1009/rtp/239.252.220.195:5140
CCTV-7高清,http://www.lizhinas.top:1009/rtp/239.252.220.185:5140
CCTV-8高清,http://www.lizhinas.top:1009/rtp/239.252.219.253:5140
CCTV-8高清,http://www.lizhinas.top:1009/rtp/239.252.220.196:5140
CCTV-9高清,http://www.lizhinas.top:1009/rtp/239.252.220.186:5140
CCTV-10高清,http://www.lizhinas.top:1009/rtp/239.252.220.91:5140
CCTV-11高清,http://www.lizhinas.top:1009/rtp/239.252.219.78:5140
CCTV-12高清,http://www.lizhinas.top:1009/rtp/239.252.220.187:5140
CCTV-13高清,http://www.lizhinas.top:1009/rtp/239.252.219.139:5140
CCTV-14高清,http://www.lizhinas.top:1009/rtp/239.252.220.92:5140
CCTV-15高清,http://www.lizhinas.top:1009/rtp/239.252.219.79:5140
CCTV-16高清,http://www.lizhinas.top:1009/rtp/239.252.219.70:5140
CCTV-17高清,http://www.lizhinas.top:1009/rtp/239.252.220.192:5140

央视数字,#genre#

CHC动作电影,http://www.lizhinas.top:1009/rtp/239.252.219.85:5140
CHC影迷电影,http://www.lizhinas.top:1009/rtp/239.252.219.83:5140
CHC家庭影院,http://www.lizhinas.top:1009/rtp/239.252.219.84:5140
CCTV风云足球,http://www.lizhinas.top:1009/rtp/239.252.219.96:5140
CCTV女性时尚,http://www.lizhinas.top:1009/rtp/239.252.219.94:5140
CCTV兵器科技,http://www.lizhinas.top:1009/rtp/239.252.219.98:5140
CCTV第一剧场,http://www.lizhinas.top:1009/rtp/239.252.219.86:5140
CCTV央视文化精品,http://www.lizhinas.top:1009/rtp/239.252.219.81:5140
CCTV怀旧剧场,http://www.lizhinas.top:1009/rtp/239.252.219.90:5140
CCTV电视指南,http://www.lizhinas.top:1009/rtp/239.252.219.97:5140
CCTV风云剧场,http://www.lizhinas.top:1009/rtp/239.252.219.89:5140
CCTV风云音乐,http://www.lizhinas.top:1009/rtp/239.252.219.87:5140
CCTV高尔夫网球,http://www.lizhinas.top:1009/rtp/239.252.219.95:5140
CCTV世界地理,http://www.lizhinas.top:1009/rtp/239.252.219.93:5140
CCTV央视台球,http://www.lizhinas.top:1009/rtp/239.252.219.80:5140

卫视频道,#genre#
凤凰资讯台,http://e2.woc.iiiya.cn:28888/rtp/239.61.5.47:1025
凤凰中文台,http://e2.woc.iiiya.cn:28888/rtp/239.61.5.48:1025
湖南卫视高清,http://www.lizhinas.top:1009/rtp/239.252.219.201:5140
浙江卫视高清,http://www.lizhinas.top:1009/rtp/239.252.219.210:5140
北京卫视高清,http://www.lizhinas.top:1009/rtp/239.252.219.206:5140
甘肃卫视高清,http://www.lizhinas.top:1009/rtp/239.252.219.140:5140
海南卫视高清,http://www.lizhinas.top:1009/rtp/239.252.219.178:5140
广西卫视高清,http://www.lizhinas.top:1009/rtp/239.252.219.183:5140
云南卫视高清,http://www.lizhinas.top:1009/rtp/239.252.219.185:5140
天津卫视高清,http://www.lizhinas.top:1009/rtp/239.252.220.61:5140
